Destination,Travel Date,Airline,Flight Stops,Meals,Per Person Price,Journey_Month,Num_Places_Visited,Package Type_Deluxe,Package Type_Luxury,Package Type_Premium,Package Type_Standard,Start City_New Delhi,Journey_Day_Monday,Journey_Day_Saturday,Journey_Day_Sunday,Journey_Day_Thursday,Journey_Day_Tuesday,Journey_Day_Wednesday,Is_Peak_Season,Trip_Complexity
417,2021-07-30,290,2,3,11509.0,5,4,False,False,False,True,False,False,False,False,False,False,False,1,12
533,2021-12-08,125,0,5,22485.5,2,3,False,False,True,False,True,False,False,False,False,False,True,1,3
549,2021-04-26,114,0,4,12421.5,0,2,False,True,False,False,True,True,False,False,False,False,False,0,2
329,2021-08-27,114,0,5,35967.0,1,4,False,False,True,False,True,False,False,False,False,False,False,0,4
443,2021-12-12,237,0,5,25584.0,2,2,False,False,True,False,True,False,False,True,False,False,False,1,2
79,2021-09-30,114,1,3,8512.0,11,1,True,False,False,False,False,False,False,False,True,False,False,0,2
201,2021-01-24,114,2,3,6848.0,4,1,False,False,False,True,True,False,False,True,False,False,False,1,3
261,2021-12-10,290,1,3,14454.5,2,2,True,False,False,False,False,False,False,False,False,False,False,1,4
529,2021-10-03,114,1,3,21556.5,10,4,True,False,False,False,True,False,False,True,False,False,False,0,8
548,2021-08-15,114,0,5,13042.0,1,1,False,False,True,False,False,False,False,True,False,False,False,0,1
275,2021-06-02,231,2,2,10648.5,6,2,False,False,False,False,True,False,False,False,False,False,True,1,6
86,2021-10-14,145,0,5,25902.0,10,4,False,False,True,False,True,False,False,False,True,False,False,0,4
186,2021-09-15,231,0,5,12009.5,11,1,False,False,True,False,True,False,False,False,False,False,True,0,1
559,2021-05-21,290,2,3,6911.0,8,2,False,False,False,True,True,False,False,False,False,False,False,1,6
69,2021-02-19,105,1,3,17323.0,3,4,True,False,False,False,False,False,False,False,False,False,False,0,8
374,2021-06-29,114,2,3,13890.0,6,3,False,False,False,True,True,False,False,False,False,True,False,1,9
268,2021-12-18,1,1,3,14558.5,2,1,True,False,False,False,True,False,True,False,False,False,False,1,2
531,2021-04-09,247,1,3,12591.0,0,3,True,False,False,False,False,False,False,False,False,False,False,0,6
494,2021-11-27,290,0,4,20739.0,9,3,False,True,False,False,False,False,True,False,False,False,False,0,3
424,2021-11-22,231,2,3,14445.0,9,2,False,False,False,True,False,True,False,False,False,False,False,0,6
271,2021-06-18,94,0,5,18956.5,6,3,False,False,True,False,False,False,False,False,False,False,False,1,3
201,2021-12-03,231,0,5,9441.0,2,1,False,False,True,False,True,False,False,False,False,False,False,1,1
402,2021-08-10,114,1,3,12733.5,1,3,True,False,False,False,False,False,False,False,False,True,False,0,6
159,2021-10-12,87,0,5,43598.0,10,1,False,False,True,False,False,False,False,False,False,True,False,0,1
182,2021-05-09,290,1,3,2580.0,8,1,True,False,False,False,True,False,False,True,False,False,False,1,2
176,2021-07-15,231,0,4,30859.5,5,3,False,True,False,False,True,False,False,False,True,False,False,1,3
498,2021-12-24,234,0,5,41496.0,2,5,False,False,True,False,False,False,False,False,False,False,False,1,5
176,2021-04-13,290,0,5,13465.0,0,3,False,False,True,False,False,False,False,False,False,True,False,0,3
115,2021-02-18,291,2,3,18719.0,3,3,False,False,False,True,False,False,False,False,True,False,False,0,9
108,2021-06-02,114,0,4,13014.0,6,1,False,True,False,False,True,False,False,False,False,False,True,1,1
402,2021-04-15,231,0,4,21751.5,0,3,False,True,False,False,True,False,False,False,True,False,False,0,3
332,2021-09-24,114,2,3,12527.0,11,3,False,False,False,True,True,False,False,False,False,False,False,0,9
481,2021-03-26,290,0,4,22910.0,7,1,False,True,False,False,False,False,False,False,False,False,False,0,1
143,2022-01-18,125,2,2,15827.0,4,1,False,False,False,False,True,False,False,False,False,True,False,1,3
91,2021-02-27,242,2,3,15795.5,3,5,False,False,False,True,True,False,True,False,False,False,False,0,15
417,2021-07-12,290,0,4,24753.5,5,4,False,True,False,False,True,True,False,False,False,False,False,1,4
171,2021-05-22,114,2,3,28394.5,8,3,False,False,False,True,True,False,True,False,False,False,False,1,9
527,2021-05-08,114,2,3,12802.0,8,2,False,False,False,True,True,False,True,False,False,False,False,1,6
362,2021-03-30,231,1,3,13521.0,7,3,True,False,False,False,True,False,False,False,False,True,False,0,6
246,2021-11-07,253,0,4,24580.5,9,3,False,True,False,False,True,False,False,True,False,False,False,0,3
538,2021-10-08,1,2,3,10039.0,10,2,False,False,False,True,True,False,False,False,False,False,False,0,6
144,2021-11-22,114,0,4,27722.5,9,2,False,True,False,False,False,True,False,False,False,False,False,0,2
434,2021-03-30,94,0,5,16653.5,7,2,False,False,True,False,False,False,False,False,False,True,False,0,2
385,2021-05-01,231,1,3,14085.5,8,2,True,False,False,False,True,False,True,False,False,False,False,1,4
364,2021-05-08,291,2,3,10929.5,8,2,False,False,False,True,False,False,True,False,False,False,False,1,6
70,2021-09-02,291,2,3,16384.0,11,4,False,False,False,True,False,False,False,False,True,False,False,0,12
145,2021-08-03,114,1,3,24800.5,1,3,True,False,False,False,False,False,False,False,False,True,False,0,6
144,2021-09-17,114,0,4,22166.0,11,2,False,True,False,False,True,False,False,False,False,False,False,0,2
38,2022-01-05,275,2,3,49045.0,4,2,False,False,False,True,True,False,False,False,False,False,True,1,6
176,2021-12-08,125,0,5,39963.0,2,3,False,False,True,False,True,False,False,False,False,False,True,1,3
201,2021-05-12,94,0,4,55444.5,8,1,False,True,False,False,False,False,False,False,False,False,True,1,1
171,2021-05-06,114,1,3,26249.0,8,3,True,False,False,False,False,False,False,False,True,False,False,1,6
322,2021-09-22,239,0,5,44067.0,11,3,False,False,True,False,False,False,False,False,False,False,True,0,3
174,2021-04-22,231,0,5,50183.0,0,5,False,False,True,False,False,False,False,False,True,False,False,0,5
246,2021-12-23,260,0,5,26163.0,2,3,False,False,True,False,True,False,False,False,True,False,False,1,3
328,2021-09-07,114,0,5,15889.0,11,2,False,False,True,False,True,False,False,False,False,True,False,0,2
108,2021-12-17,290,2,3,7311.5,2,1,False,False,False,True,True,False,False,False,False,False,False,1,3
182,2021-09-15,290,2,3,5818.0,11,1,False,False,False,True,True,False,False,False,False,False,True,0,3
526,2021-05-14,247,1,3,12699.0,8,1,True,False,False,False,False,False,False,False,False,False,False,1,2
395,2021-02-01,129,2,3,22074.5,3,4,False,False,False,True,True,True,False,False,False,False,False,0,12
320,2021-02-22,231,2,3,6362.5,3,1,False,False,False,True,False,True,False,False,False,False,False,0,3
49,2021-10-26,290,2,3,13548.0,10,4,False,False,False,True,False,False,False,False,False,True,False,0,12
296,2021-10-09,18,0,4,17116.0,10,3,False,True,False,False,True,False,True,False,False,False,False,0,3
182,2021-05-27,231,0,5,15637.5,8,1,False,False,True,False,True,False,False,False,True,False,False,1,1
14,2021-07-26,106,0,5,20032.5,5,2,False,False,True,False,True,True,False,False,False,False,False,1,2
119,2022-02-04,94,1,3,27453.0,3,4,True,False,False,False,True,False,False,False,False,False,False,0,8
9,2021-08-25,1,1,3,18888.5,1,5,True,False,False,False,True,False,False,False,False,False,True,0,10
66,2021-09-09,114,0,5,26183.0,11,3,False,False,True,False,True,False,False,False,True,False,False,0,3
481,2021-05-03,290,0,5,23723.5,8,1,False,False,True,False,True,True,False,False,False,False,False,1,1
292,2021-10-11,231,2,3,12842.5,10,1,False,False,False,True,True,True,False,False,False,False,False,0,3
114,2021-05-25,94,1,3,18986.0,8,2,True,False,False,False,False,False,False,False,False,True,False,1,4
417,2021-08-25,290,2,3,16037.0,1,4,False,False,False,True,False,False,False,False,False,False,True,0,12
286,2021-10-05,114,0,4,16777.5,10,2,False,True,False,False,False,False,False,False,False,True,False,0,2
201,2021-05-10,290,0,5,7756.0,8,1,False,False,True,False,True,True,False,False,False,False,False,1,1
165,2021-12-21,114,0,5,27849.0,2,2,False,False,True,False,False,False,False,False,False,True,False,1,2
328,2021-02-17,291,2,3,14366.5,3,2,False,False,False,True,True,False,False,False,False,False,True,0,6
268,2021-06-09,231,1,3,15682.5,6,1,True,False,False,False,True,False,False,False,False,False,True,1,2
434,2021-04-14,231,0,5,19114.5,0,2,False,False,True,False,False,False,False,False,False,False,True,0,2
552,2021-10-20,125,0,4,21828.5,10,3,False,True,False,False,True,False,False,False,False,False,True,0,3
460,2021-09-20,125,2,3,31335.0,11,3,False,False,False,True,True,True,False,False,False,False,False,0,9
304,2021-07-04,236,2,3,12323.5,5,1,False,False,False,True,True,False,False,True,False,False,False,1,3
172,2021-03-24,231,2,3,21976.0,7,4,False,False,False,True,False,False,False,False,False,False,True,0,12
9,2021-06-13,231,0,5,50177.5,6,5,False,False,True,False,False,False,False,True,False,False,False,1,5
174,2021-02-12,114,1,3,36724.0,3,5,True,False,False,False,True,False,False,False,False,False,False,0,10
499,2021-09-10,231,2,3,27049.0,11,5,False,False,False,True,True,False,False,False,False,False,False,0,15
201,2021-11-15,231,2,3,16501.5,9,1,False,False,False,True,False,True,False,False,False,False,False,0,3
309,2022-02-21,290,0,4,15773.0,3,2,False,True,False,False,True,True,False,False,False,False,False,0,2
474,2021-12-04,247,2,3,21534.5,2,1,False,False,False,True,True,False,True,False,False,False,False,1,3
320,2021-09-25,114,0,5,9065.0,11,1,False,False,True,False,True,False,True,False,False,False,False,0,1
526,2021-09-25,247,2,3,9075.0,11,1,False,False,False,True,False,False,True,False,False,False,False,0,3
367,2021-08-20,1,2,3,8798.0,1,1,False,False,False,True,True,False,False,False,False,False,False,0,3
361,2022-01-24,105,1,3,14794.0,4,2,True,False,False,False,True,True,False,False,False,False,False,1,4
179,2021-01-30,290,2,3,15181.5,4,3,False,False,False,True,True,False,True,False,False,False,False,1,9
424,2021-04-21,114,0,5,21972.5,0,2,False,False,True,False,False,False,False,False,False,False,True,0,2
182,2021-09-08,290,2,3,4623.5,11,1,False,False,False,True,True,False,False,False,False,False,True,0,3
232,2021-05-22,239,2,3,13397.5,8,2,False,False,False,True,True,False,True,False,False,False,False,1,6
201,2021-09-15,290,0,5,8446.5,11,1,False,False,True,False,False,False,False,False,False,False,True,0,1
321,2021-04-05,290,2,3,3875.0,0,2,False,False,False,True,True,True,False,False,False,False,False,0,6
448,2021-09-18,114,2,3,24202.5,11,3,False,False,False,True,True,False,True,False,False,False,False,0,9
481,2021-11-06,290,0,5,22402.0,9,1,False,False,True,False,False,False,True,False,False,False,False,0,1
457,2021-10-18,231,2,3,9819.0,10,2,False,False,False,True,False,True,False,False,False,False,False,0,6
332,2021-10-15,290,0,5,13579.0,10,3,False,False,True,False,True,False,False,False,False,False,False,0,3
237,2021-10-22,125,0,4,25154.0,10,1,False,True,False,False,True,False,False,False,False,False,False,0,1
329,2021-02-24,145,1,3,14570.0,3,4,True,False,False,False,True,False,False,False,False,False,True,0,8
421,2022-02-03,290,1,3,6521.0,3,1,True,False,False,False,False,False,False,False,True,False,False,0,2
483,2021-03-01,290,2,3,9314.0,7,2,False,False,False,True,True,True,False,False,False,False,False,0,6
9,2021-08-22,291,2,3,19242.5,1,5,False,False,False,True,False,False,False,True,False,False,False,0,15
456,2021-10-03,290,2,3,5790.5,10,1,False,False,False,True,False,False,False,True,False,False,False,0,3
108,2021-03-07,94,1,3,12628.5,7,1,True,False,False,False,False,False,False,True,False,False,False,0,2
176,2021-05-16,114,0,5,43934.5,8,3,False,False,True,False,False,False,False,True,False,False,False,1,3
172,2021-08-23,114,1,3,28707.0,1,4,True,False,False,False,False,True,False,False,False,False,False,0,8
159,2021-04-30,125,2,3,21622.0,0,1,False,False,False,True,True,False,False,False,False,False,False,0,3
417,2021-10-26,291,1,3,23886.0,10,4,True,False,False,False,False,False,False,False,False,True,False,0,8
434,2021-11-28,94,0,5,17075.5,9,2,False,False,True,False,False,False,False,True,False,False,False,0,2
528,2021-05-25,290,0,4,29249.0,8,4,False,True,False,False,False,False,False,False,False,True,False,1,4
184,2021-10-15,125,0,5,34052.0,10,3,False,False,True,False,True,False,False,False,False,False,False,0,3
201,2021-05-18,94,0,4,11044.0,8,1,False,True,False,False,True,False,False,False,False,True,False,1,1
347,2021-03-17,231,0,5,18495.5,7,1,False,False,True,False,True,False,False,False,False,False,True,0,1
347,2021-03-27,231,1,3,7950.0,7,1,True,False,False,False,True,False,True,False,False,False,False,0,2
0,2021-04-19,88,1,3,30998.0,0,1,True,False,False,False,False,True,False,False,False,False,False,0,2
182,2021-03-08,94,1,3,11778.5,7,1,True,False,False,False,False,True,False,False,False,False,False,0,2
171,2021-07-23,231,1,3,26236.0,5,3,True,False,False,False,False,False,False,False,False,False,False,1,6
21,2021-07-10,290,0,4,7981.5,5,1,False,True,False,False,False,False,True,False,False,False,False,1,1
130,2021-08-28,290,1,3,12446.0,1,2,True,False,False,False,False,False,True,False,False,False,False,0,4
201,2021-02-22,290,0,5,5830.5,3,1,False,False,True,False,False,True,False,False,False,False,False,0,1
112,2021-08-09,231,1,3,16509.5,1,2,True,False,False,False,True,True,False,False,False,False,False,0,4
471,2021-10-18,114,0,5,32216.0,10,2,False,False,True,False,True,True,False,False,False,False,False,0,2
529,2021-07-10,125,1,3,23099.0,5,4,True,False,False,False,False,False,True,False,False,False,False,1,8
526,2021-04-24,114,1,3,13581.5,0,1,True,False,False,False,True,False,True,False,False,False,False,0,2
184,2021-08-30,114,1,3,14835.5,1,3,True,False,False,False,True,True,False,False,False,False,False,0,6
323,2021-06-02,145,0,5,25352.0,6,3,False,False,True,False,False,False,False,False,False,False,True,1,3
79,2021-03-20,114,1,3,6570.5,7,1,True,False,False,False,True,False,True,False,False,False,False,0,2
89,2021-08-29,114,0,4,17740.5,1,4,False,True,False,False,True,False,False,True,False,False,False,0,4
481,2022-01-03,290,2,3,9170.5,4,1,False,False,False,True,False,True,False,False,False,False,False,1,3
529,2021-02-18,114,2,3,13026.0,3,4,False,False,False,True,True,False,False,False,True,False,False,0,12
370,2021-11-17,290,0,5,11387.5,9,2,False,False,True,False,True,False,False,False,False,False,True,0,2
445,2021-08-30,94,2,3,13450.0,1,1,False,False,False,True,True,True,False,False,False,False,False,0,3
89,2021-11-22,231,0,5,18487.5,9,4,False,False,True,False,True,True,False,False,False,False,False,0,4
333,2021-12-11,114,1,3,15956.5,2,4,True,False,False,False,True,False,True,False,False,False,False,1,8
548,2021-02-03,290,2,3,3909.5,3,1,False,False,False,True,True,False,False,False,False,False,True,0,3
177,2021-06-28,231,2,3,25638.5,6,4,False,False,False,True,True,True,False,False,False,False,False,1,12
234,2021-12-17,247,1,3,13418.5,2,1,True,False,False,False,True,False,False,False,False,False,False,1,2
274,2021-03-15,33,0,5,34609.0,7,4,False,False,True,False,True,True,False,False,False,False,False,0,4
460,2021-11-10,94,0,4,43452.0,9,3,False,True,False,False,False,False,False,False,False,False,True,0,3
248,2021-03-10,129,0,4,20392.0,7,2,False,True,False,False,True,False,False,False,False,False,True,0,2
155,2021-04-19,254,2,3,26232.0,0,2,False,False,False,True,False,True,False,False,False,False,False,0,6
394,2021-12-10,129,2,3,25999.0,2,5,False,False,False,True,False,False,False,False,False,False,False,1,15
494,2021-08-30,231,1,3,16224.5,1,3,True,False,False,False,True,True,False,False,False,False,False,0,6
182,2021-07-12,231,1,3,9091.0,5,1,True,False,False,False,True,True,False,False,False,False,False,1,2
176,2021-10-16,290,0,5,37856.0,10,3,False,False,True,False,True,False,True,False,False,False,False,0,3
159,2021-04-05,2,2,3,21556.5,0,1,False,False,False,True,True,True,False,False,False,False,False,0,3
334,2021-05-11,247,1,3,16215.0,8,4,True,False,False,False,False,False,False,False,False,True,False,1,8
126,2021-08-07,290,2,3,8661.5,1,3,False,False,False,True,True,False,True,False,False,False,False,0,9
344,2021-10-11,114,0,5,25109.0,10,4,False,False,True,False,True,True,False,False,False,False,False,0,4
548,2021-10-16,290,0,5,6981.5,10,1,False,False,True,False,True,False,True,False,False,False,False,0,1
279,2021-08-02,166,0,5,38887.0,1,2,False,False,True,False,True,True,False,False,False,False,False,0,2
182,2021-03-06,231,0,5,29389.0,7,1,False,False,True,False,True,False,True,False,False,False,False,0,1
359,2021-07-02,94,0,4,18548.5,5,3,False,True,False,False,True,False,False,False,False,False,False,1,3
496,2021-09-08,237,0,4,31321.5,11,4,False,True,False,False,True,False,False,False,False,False,True,0,4
155,2021-12-20,290,0,5,7674.5,2,2,False,False,True,False,True,True,False,False,False,False,False,1,2
490,2022-01-29,231,0,4,30661.0,4,4,False,True,False,False,True,False,True,False,False,False,False,1,4
457,2021-10-23,290,0,5,8439.0,10,2,False,False,True,False,True,False,True,False,False,False,False,0,2
367,2021-11-25,114,2,2,8894.0,9,1,False,False,False,False,False,False,False,False,True,False,False,0,3
483,2021-10-15,290,0,4,12044.0,10,2,False,True,False,False,True,False,False,False,False,False,False,0,2
34,2021-09-12,1,0,5,13560.0,11,2,False,False,True,False,False,False,False,True,False,False,False,0,2
320,2021-02-08,114,2,3,12633.0,3,1,False,False,False,True,True,True,False,False,False,False,False,0,3
531,2021-05-09,94,0,5,17673.0,8,3,False,False,True,False,True,False,False,True,False,False,False,1,3
258,2021-07-15,290,1,3,6569.0,5,1,True,False,False,False,False,False,False,False,True,False,False,1,2
309,2021-10-07,290,1,3,8810.5,10,2,True,False,False,False,True,False,False,False,True,False,False,0,4
49,2022-03-27,105,1,3,23888.0,7,4,True,False,False,False,True,False,False,True,False,False,False,0,8
489,2021-06-07,1,0,5,23405.5,6,3,False,False,True,False,True,True,False,False,False,False,False,1,3
155,2021-11-11,290,1,3,7550.5,9,2,True,False,False,False,True,False,False,False,True,False,False,0,4
21,2021-05-24,231,0,5,17205.0,8,1,False,False,True,False,True,True,False,False,False,False,False,1,1
559,2021-09-26,247,2,3,16260.5,11,2,False,False,False,True,True,False,False,True,False,False,False,0,6
246,2021-12-01,9,1,3,25725.5,2,3,True,False,False,False,True,False,False,False,False,False,True,1,6
464,2021-06-14,290,2,3,46053.5,6,1,False,False,False,True,True,True,False,False,False,False,False,1,3
496,2021-08-21,1,2,3,17994.5,1,4,False,False,False,True,True,False,True,False,False,False,False,0,12
331,2021-05-21,231,2,3,10329.5,8,2,False,False,False,True,False,False,False,False,False,False,False,1,6
268,2021-10-28,125,1,3,10704.5,10,1,True,False,False,False,True,False,False,False,True,False,False,0,2
320,2021-06-19,114,1,3,10434.5,6,1,True,False,False,False,True,False,True,False,False,False,False,1,2
155,2021-10-08,291,0,5,12829.5,10,2,False,False,True,False,True,False,False,False,False,False,False,0,2
526,2021-08-03,125,2,3,9940.0,1,1,False,False,False,True,True,False,False,False,False,True,False,0,3
145,2021-11-15,125,2,3,21855.0,9,3,False,False,False,True,True,True,False,False,False,False,False,0,9
144,2021-04-17,231,0,4,34249.0,0,2,False,True,False,False,False,False,True,False,False,False,False,0,2
172,2021-05-06,231,2,3,31079.5,8,4,False,False,False,True,False,False,False,False,True,False,False,1,12
174,2021-02-23,231,0,5,46713.5,3,5,False,False,True,False,False,False,False,False,False,True,False,0,5
557,2021-08-26,290,0,5,17082.5,1,3,False,False,True,False,True,False,False,False,True,False,False,0,3
80,2021-07-31,114,0,5,12384.0,5,3,False,False,True,False,True,False,True,False,False,False,False,1,3
144,2021-03-24,114,1,3,18041.0,7,2,True,False,False,False,False,False,False,False,False,False,True,0,4
21,2021-07-16,114,0,5,12864.5,5,1,False,False,True,False,True,False,False,False,False,False,False,1,1
182,2021-10-18,114,2,3,11242.5,10,1,False,False,False,True,False,True,False,False,False,False,False,0,3
532,2021-10-18,231,1,3,16685.0,10,4,True,False,False,False,True,True,False,False,False,False,False,0,8
131,2021-10-16,114,0,5,19231.0,10,3,False,False,True,False,True,False,True,False,False,False,False,0,3
21,2021-08-17,231,0,4,15692.5,1,1,False,True,False,False,True,False,False,False,False,True,False,0,1
458,2021-06-25,125,0,5,21049.5,6,1,False,False,True,False,True,False,False,False,False,False,False,1,1
320,2021-10-06,290,2,3,4988.0,10,1,False,False,False,True,False,False,False,False,False,False,True,0,3
323,2021-04-18,29,1,3,19544.0,0,3,True,False,False,False,True,False,False,True,False,False,False,0,6
157,2021-09-02,1,2,3,16667.5,11,4,False,False,False,True,True,False,False,False,True,False,False,0,12
88,2021-05-17,231,0,5,17321.5,8,3,False,False,True,False,True,True,False,False,False,False,False,1,3
493,2021-07-01,290,1,3,14676.5,5,4,True,False,False,False,False,False,False,False,True,False,False,1,8
328,2021-08-10,94,1,3,14699.0,1,2,True,False,False,False,True,False,False,False,False,True,False,0,4
22,2021-09-22,231,2,3,17515.5,11,3,False,False,False,True,False,False,False,False,False,False,True,0,9
165,2021-06-10,290,1,3,23270.5,6,2,True,False,False,False,True,False,False,False,True,False,False,1,4
377,2021-01-24,94,0,4,24082.0,4,4,False,True,False,False,False,False,False,True,False,False,False,1,4
459,2022-03-16,290,0,5,20611.0,7,4,False,False,True,False,True,False,False,False,False,False,True,0,4
89,2021-03-10,231,1,3,21263.5,7,4,True,False,False,False,True,False,False,False,False,False,True,0,8
